"","SN","Id","tree_id","location","species","UTM","X","Y","district","forest_type","dev_status","density","quality","crown","st_ht","cr_ht","Ht","dbh","Hx","Dx","v_ob","Vol_tree","x","y","predictions","pred_model1","pred_sm","pred_fit"
"1",1,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,25.6,0,0.001698923,1.931489466,1,0,2.91629920625543,2.91629920625543,0.380533959480402,-0.00763321063843492
"2",2,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,24,5.2,0.009229099,1.931489466,0.9375,5.2,6.94961685812242,6.94961685812242,6.07695554507865,0.120808491467594
"3",3,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,22,11.1,0.034004381,1.931489466,0.859375,11.1,11.9912639229562,11.9912639229562,12.4357719061017,0.219035384223671
"4",4,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,20,17.6,0.037626374,1.931489466,0.78125,17.6,17.0329109877899,17.0329109877899,18.1935998437371,0.298108143331195
"5",5,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,18,24.3,0.101113104,1.931489466,0.703125,24.3,22.0745580526236,22.0745580526236,23.6031281507598,0.384322725917728
"6",6,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,16,26.4,0.11987964,1.931489466,0.625,26.4,27.1162051174574,27.1162051174574,28.7645221889947,0.482534517692388
"7",7,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,14,28.8,0.140616682,1.931489466,0.546875,28.8,32.1578521822911,32.1578521822911,33.6605344810946,0.583844651102774
"8",8,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,12,31,0.152416941,1.931489466,0.46875,31,37.1994992471248,37.1994992471248,38.270897283753,0.673286323491852
"9",9,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,10,31.3,0.154849012,1.931489466,0.390625,31.3,42.2411463119586,42.2411463119586,42.5722667095887,0.737511115254914
"10",10,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,8,34.8,0.23737551,1.931489466,0.3125,34.8,47.2827933767923,47.2827933767923,46.4607629407664,0.772475307996476
"11",11,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,6,39.2,0.246343864,1.931489466,0.234375,39.2,52.324440441626,52.324440441626,49.746127333999,0.791126202687208
"12",12,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,4,40,0.181268948,1.931489466,0.15625,40,57.3660875064598,57.3660875064598,52.233854725622,0.831088437820853
"13",13,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,1.3,42.8,0.089058384,1.931489466,0.05078125,42.8,64.1723110439853,64.1723110439853,57.5580512130501,1.04886617937712
"14",14,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,1.8,45.2,0.076080847,1.931489466,0.0703125,45.2,62.9118992777769,62.9118992777769,54.4662839309071,0.984346233576899
"15",15,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,2.8,47.4,0.168455084,1.931489466,0.109375,47.4,60.39107574536,60.39107574536,53.2627112517388,0.892833804012189
"16",16,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,0.8,52,0.15487595,1.931489466,0.03125,52,65.4327228101938,65.4327228101938,64.6067369374888,1.1288108740167
"17",17,1,"101ds","bani","sal",44,441499,3195373,"kanchanpur","sal mixed",4,35,2,1,85,6.6,25.6,42.8,0.3,72,1.931489466,1.931489466,0.01171875,72,66.6931345764022,66.6931345764022,77.3594436146734,1.22661136023459
"18",18,2,"102ds","bani","sal",44,441519,3195295,"kanchanpur","sal asna",4,35,1,1,99,5.6,38.2,90.6,38.2,0,0.004233171,10.88333913,1,0,2.91629920625543,2.91629920625543,0.380533959480402,-0.00763321063843492
