SN,Id,tree_id,location,species,UTM,X,Y,district,forest_type,dev_status,density,quality,crown,st_ht,cr_ht,Ht,dbh,Hx,Dx,v_ob,Vol_tree
1,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,25.6,0,0.001698923,1.931489466
2,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,24,5.2,0.009229099,1.931489466
3,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,22,11.1,0.034004381,1.931489466
4,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,20,17.6,0.037626374,1.931489466
5,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,18,24.3,0.101113104,1.931489466
6,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,16,26.4,0.11987964,1.931489466
7,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,14,28.8,0.140616682,1.931489466
8,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,12,31,0.152416941,1.931489466
9,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,10,31.3,0.154849012,1.931489466
10,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,8,34.8,0.23737551,1.931489466
11,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,6,39.2,0.246343864,1.931489466
12,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,4,40,0.181268948,1.931489466
13,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,1.3,42.8,0.089058384,1.931489466
14,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,1.8,45.2,0.076080847,1.931489466
15,1,101ds,bani,sal,44,441499,3195373,kanchanpur,sal mixed,4,35,2,1,85,6.6,25.6,42.8,2.8,47.4,0.168455084,1.931489466
